fci_number,cs,en,list_id,cmku_url,cmku_popis_pdf
324,Vel.franc.-anglický bílo-oranžový honič,Grand Anglo-Francais Blanc et Orange,372,https://www.cmku.cz/cz/seznam-plemen-159/372,https://www.cmku.cz/data/plemena_popisy/372-vel-franc-anglicky-bilo-oranzovy-honic.pdf
322,Vel.francouzsko-anglický trikolor.honič,Grand Anglo-Francais Tricolore,370,https://www.cmku.cz/cz/seznam-plemen-159/370,https://www.cmku.cz/data/plemena_popisy/370-vel-francouzsko-anglicky-trikolor-honic.pdf
323,Velký franc.-anglický bílo-černý honič,Grand Anglo-Francais Blanc et Noir,371,https://www.cmku.cz/cz/seznam-plemen-159/371,https://www.cmku.cz/data/plemena_popisy/371-velky-franc-anglicky-bilo-cerny-honic.pdf
33,Velký hrubosrstý vendéeský basset,Grand Basset Griffon Vendéen,34,https://www.cmku.cz/cz/seznam-plemen-159/34,https://www.cmku.cz/data/plemena_popisy/34-velky-hrubosrsty-vendeesky-basset.pdf
22,Velký modrý gaskoňský honič,Grand Bleu de Gascogne,27,https://www.cmku.cz/cz/seznam-plemen-159/27,https://www.cmku.cz/data/plemena_popisy/27-velky-modry-gaskonsky-honic.pdf
118,Velký münsterlandský ohař,Grosser Münsterländer Vorstehhund,135,https://www.cmku.cz/cz/seznam-plemen-159/135,https://www.cmku.cz/data/plemena_popisy/135-velky-munsterlandsky-ohar.pdf
58,Velký švýcarský salašnický pes,Grosser Schweizer Sennenhund,59,https://www.cmku.cz/cz/seznam-plemen-159/59,https://www.cmku.cz/data/plemena_popisy/59-velky-svycarsky-salasnicky-pes.pdf
282,Velký vendéeský hrubosrstý honič,Grand Griffon Vendéen,330,https://www.cmku.cz/cz/seznam-plemen-159/330,https://www.cmku.cz/data/plemena_popisy/330-velky-vendeesky-hrubosrsty-honic.pdf
930,Východoevropský ovčák,Vostochoeuropeyskaya ovtcharka,434,https://www.cmku.cz/cz/seznam-plemen-159/434,https://www.cmku.cz/data/plemena_popisy/434-vychodoevropsky-ovcak.pdf
305,Východosibiřská lajka,Laika Vostotchno-Sibirskaia,353,https://www.cmku.cz/cz/seznam-plemen-159/353,https://www.cmku.cz/data/plemena_popisy/353-vychodosibirska-lajka.pdf
99,Výmarský ohař,Weimaraner,115,https://www.cmku.cz/cz/seznam-plemen-159/115,https://www.cmku.cz/data/plemena_popisy/115-vymarsky-ohar.pdf
38,Welsh Corgi Cardigan,Welsh Corgi Cardigan,39,https://www.cmku.cz/cz/seznam-plemen-159/39,https://www.cmku.cz/data/plemena_popisy/39-welsh-corgi-cardigan.pdf
39,Welsh Corgi Pembroke,Welsh Corgi Pembroke,40,https://www.cmku.cz/cz/seznam-plemen-159/40,https://www.cmku.cz/data/plemena_popisy/40-welsh-corgi-pembroke.pdf
78,Welsh terier,Welsh Terrier,90,https://www.cmku.cz/cz/seznam-plemen-159/90,https://www.cmku.cz/data/plemena_popisy/90-welsh-terier.pdf
126,Welššpringršpaněl,Welsh Springer Spaniel,143,https://www.cmku.cz/cz/seznam-plemen-159/143,https://www.cmku.cz/data/plemena_popisy/143-welsspringrspanel.pdf
85,West Highland White Terrier,West Highland White Terrier,96,https://www.cmku.cz/cz/seznam-plemen-159/96,https://www.cmku.cz/data/plemena_popisy/96-west-highland-white-terrier.pdf
100,Westfálský jezevčíkovitý honič,Westfälische Dachsbracke,118,https://www.cmku.cz/cz/seznam-plemen-159/118,https://www.cmku.cz/data/plemena_popisy/118-westfalsky-jezevcikovity-honic.pdf
221,Wetterhound,Wetterhound,270,https://www.cmku.cz/cz/seznam-plemen-159/270,https://www.cmku.cz/data/plemena_popisy/270-wetterhound.pdf
162,Whippet,Whippet,185,https://www.cmku.cz/cz/seznam-plemen-159/185,https://www.cmku.cz/data/plemena_popisy/185-whippet.pdf
86,Yorkšírský terier,Yorkshire Terrier,97,https://www.cmku.cz/cz/seznam-plemen-159/97,https://www.cmku.cz/data/plemena_popisy/97-yorksirsky-terier.pdf
306,Západosibiřská lajka,Laika Zapadno-Sibirskaia,354,https://www.cmku.cz/cz/seznam-plemen-159/354,https://www.cmku.cz/data/plemena_popisy/354-zapadosibirska-lajka.pdf
111,Zlatý retriever,Golden Retriever,129,https://www.cmku.cz/cz/seznam-plemen-159/129,https://www.cmku.cz/data/plemena_popisy/129-zlaty-retriever.pdf
